food_name,dietary_type,meal_type,calories,protein,carbs,fats,portion_size,preparation_time,cuisine_type,ingredients,cooking_method,allergens,seasonality,difficulty_level,recipe_link
Smoothie 73,Gluten-Free,Dinner,147,18,36,19,2 serving(s),51,International,"Ingredient 3, Ingredient 15",Slow-cook,eggs,Fall,Medium,https://example.com/recipe_73
Oatmeal 74,Paleo,Dinner,272,32,45,10,1 serving(s),19,Italian,"Ingredient 7, Ingredient 11",Slow-cook,soy,Fall,Easy,https://example.com/recipe_74
Pasta Primavera 75,Keto,Post-workout,741,36,87,37,2 serving(s),45,International,"Ingredient 5, Ingredient 17",No-Cook,dairy,Winter,Medium,https://example.com/recipe_75
Smoothie 76,Paleo,Lunch,741,35,84,17,2 serving(s),58,Mediterranean,"Ingredient 3, Ingredient 14",Steam,dairy,All Year,Medium,https://example.com/recipe_76
Vegan Stir-Fry 77,Gluten-Free,Dinner,748,13,62,38,3 serving(s),18,Italian,"Ingredient 10, Ingredient 14",Bake,nuts,All Year,Medium,https://example.com/recipe_77
Oatmeal 78,Vegetarian,Pre-workout,687,6,11,23,3 serving(s),35,Mediterranean,"Ingredient 10, Ingredient 11",No-Cook,shellfish,Spring,Medium,https://example.com/recipe_78
Tofu Curry 79,Gluten-Free,Breakfast,390,9,66,35,3 serving(s),21,Middle Eastern,"Ingredient 6, Ingredient 19",Pan-fry,gluten,Summer,Easy,https://example.com/recipe_79
Vegan Stir-Fry 80,Keto,Dinner,304,36,85,43,2 serving(s),35,Italian,"Ingredient 6, Ingredient 20",Pan-fry,nuts,All Year,Easy,https://example.com/recipe_80
Oatmeal 81,Mediterranean,Breakfast,673,17,97,7,2 serving(s),53,Indian,"Ingredient 4, Ingredient 11",Bake,nuts,Fall,Easy,https://example.com/recipe_81
Smoothie 82,Vegan,Lunch,774,12,31,19,3 serving(s),43,International,"Ingredient 3, Ingredient 14",Steam,fish,Spring,Hard,https://example.com/recipe_82
Chicken Wrap 83,Paleo,Snacks,553,43,78,27,3 serving(s),51,Asian,"Ingredient 5, Ingredient 19",Slow-cook,dairy,Fall,Medium,https://example.com/recipe_83
Pasta Primavera 84,Vegetarian,Pre-workout,449,6,81,24,2 serving(s),34,Asian,"Ingredient 1, Ingredient 20",Steam,dairy,All Year,Hard,https://example.com/recipe_84
Keto Egg Salad 85,Keto,Dinner,539,42,55,19,2 serving(s),15,American,"Ingredient 10, Ingredient 16",Steam,dairy,Spring,Medium,https://example.com/recipe_85
Oatmeal 86,Gluten-Free,Breakfast,339,43,65,7,1 serving(s),22,Middle Eastern,"Ingredient 3, Ingredient 17",Air-fry,eggs,Fall,Medium,https://example.com/recipe_86
Quinoa Bowl 87,Vegetarian,Post-workout,346,6,97,13,1 serving(s),19,Middle Eastern,"Ingredient 5, Ingredient 17",Air-fry,eggs,Summer,Easy,https://example.com/recipe_87
Oatmeal 88,Vegan,Pre-workout,309,40,77,39,1 serving(s),47,Italian,"Ingredient 6, Ingredient 18",No-Cook,fish,All Year,Hard,https://example.com/recipe_88
Keto Egg Salad 89,No Restrictions,Dinner,742,48,66,48,3 serving(s),31,Mediterranean,"Ingredient 6, Ingredient 13",Air-fry,eggs,Summer,Medium,https://example.com/recipe_89
Quinoa Bowl 90,No Restrictions,Snacks,117,6,4,48,1 serving(s),27,Mexican,"Ingredient 2, Ingredient 11",Bake,dairy,Winter,Medium,https://example.com/recipe_90
Grilled Chicken 91,No Restrictions,Dinner,629,30,86,0,1 serving(s),46,Indian,"Ingredient 4, Ingredient 12",Boil,gluten,Winter,Easy,https://example.com/recipe_91
Salmon Steak 92,Paleo,Post-workout,648,21,74,13,1 serving(s),12,Mexican,"Ingredient 6, Ingredient 11",No-Cook,dairy,All Year,Hard,https://example.com/recipe_92
Vegan Stir-Fry 93,No Restrictions,Dinner,296,11,19,44,1 serving(s),8,Asian,"Ingredient 4, Ingredient 16",Boil,gluten,Spring,Easy,https://example.com/recipe_93
Oatmeal 94,No Restrictions,Dinner,441,37,58,45,1 serving(s),38,Mexican,"Ingredient 8, Ingredient 16",Boil,gluten,All Year,Medium,https://example.com/recipe_94
Pasta Primavera 95,No Restrictions,Lunch,301,26,70,32,2 serving(s),15,Asian,"Ingredient 8, Ingredient 13",Grill,soy,Winter,Easy,https://example.com/recipe_95
Quinoa Bowl 96,Paleo,Pre-workout,413,35,44,13,3 serving(s),13,International,"Ingredient 8, Ingredient 19",Pan-fry,shellfish,All Year,Easy,https://example.com/recipe_96
Salmon Steak 97,Keto,Post-workout,268,42,18,12,1 serving(s),29,Middle Eastern,"Ingredient 10, Ingredient 18",Boil,None,Summer,Easy,https://example.com/recipe_97
Vegan Stir-Fry 98,Keto,Post-workout,205,8,0,30,2 serving(s),38,American,"Ingredient 2, Ingredient 18",Slow-cook,soy,Summer,Easy,https://example.com/recipe_98
Oatmeal 99,Keto,Snacks,146,15,29,22,2 serving(s),44,International,"Ingredient 1, Ingredient 19",Air-fry,nuts,Fall,Easy,https://example.com/recipe_99
Vegan Stir-Fry 100,Keto,Snacks,787,49,13,11,3 serving(s),48,Mexican,"Ingredient 5, Ingredient 12",Pan-fry,None,Summer,Easy,https://example.com/recipe_100
Grilled Chicken 101,Keto,Snacks,485,22,44,22,2 serving(s),12,Mexican,"Ingredient 2, Ingredient 13",Boil,gluten,Fall,Easy,https://example.com/recipe_101
Tofu Curry 102,Paleo,Post-workout,384,48,57,27,1 serving(s),22,International,"Ingredient 4, Ingredient 19",Steam,None,Spring,Easy,https://example.com/recipe_102
Tofu Curry 103,Vegetarian,Dinner,629,28,20,19,3 serving(s),15,Mexican,"Ingredient 9, Ingredient 13",Slow-cook,shellfish,Fall,Medium,https://example.com/recipe_103
Salmon Steak 104,Gluten-Free,Lunch,189,10,17,11,1 serving(s),53,Asian,"Ingredient 9, Ingredient 18",Slow-cook,fish,Winter,Hard,https://example.com/recipe_104
Pasta Primavera 105,Keto,Snacks,620,6,1,36,3 serving(s),19,American,"Ingredient 1, Ingredient 12",Steam,dairy,All Year,Medium,https://example.com/recipe_105
Pasta Primavera 106,Vegetarian,Pre-workout,714,21,75,41,2 serving(s),40,Mediterranean,"Ingredient 4, Ingredient 19",Boil,eggs,Spring,Hard,https://example.com/recipe_106
Smoothie 107,Keto,Pre-workout,117,35,21,4,2 serving(s),53,American,"Ingredient 5, Ingredient 15",No-Cook,nuts,All Year,Medium,https://example.com/recipe_107
Chicken Wrap 108,Keto,Snacks,755,48,69,1,1 serving(s),46,Middle Eastern,"Ingredient 6, Ingredient 19",Air-fry,soy,Summer,Easy,https://example.com/recipe_108
Tofu Curry 109,Paleo,Breakfast,371,14,14,1,2 serving(s),33,Asian,"Ingredient 4, Ingredient 14",Bake,gluten,All Year,Hard,https://example.com/recipe_109
Chicken Wrap 110,Gluten-Free,Dinner,622,44,42,3,1 serving(s),8,Italian,"Ingredient 10, Ingredient 14",Boil,soy,Fall,Hard,https://example.com/recipe_110
Tofu Curry 111,No Restrictions,Snacks,523,40,5,48,2 serving(s),10,Indian,"Ingredient 5, Ingredient 12",Grill,dairy,Spring,Hard,https://example.com/recipe_111
Keto Egg Salad 112,Keto,Dinner,571,50,18,34,3 serving(s),6,Middle Eastern,"Ingredient 2, Ingredient 14",Slow-cook,gluten,Winter,Hard,https://example.com/recipe_112
Grilled Chicken 113,No Restrictions,Pre-workout,645,12,88,46,3 serving(s),45,Mediterranean,"Ingredient 5, Ingredient 19",Boil,fish,Winter,Hard,https://example.com/recipe_113
Grilled Chicken 114,Mediterranean,Post-workout,361,21,18,22,2 serving(s),23,Indian,"Ingredient 5, Ingredient 13",Slow-cook,gluten,Summer,Hard,https://example.com/recipe_114
Quinoa Bowl 115,Vegan,Snacks,283,8,7,27,2 serving(s),25,International,"Ingredient 2, Ingredient 15",No-Cook,soy,All Year,Hard,https://example.com/recipe_115
Tofu Curry 116,Mediterranean,Lunch,375,33,98,43,3 serving(s),27,International,"Ingredient 8, Ingredient 19",Bake,None,All Year,Easy,https://example.com/recipe_116
Pasta Primavera 117,Keto,Lunch,348,26,53,20,1 serving(s),26,Indian,"Ingredient 7, Ingredient 20",No-Cook,None,All Year,Medium,https://example.com/recipe_117
Pasta Primavera 118,Paleo,Breakfast,577,10,52,25,3 serving(s),16,Mediterranean,"Ingredient 1, Ingredient 13",Steam,shellfish,All Year,Easy,https://example.com/recipe_118
Vegan Stir-Fry 119,Gluten-Free,Lunch,793,34,13,22,1 serving(s),36,Asian,"Ingredient 10, Ingredient 16",Pan-fry,shellfish,Summer,Hard,https://example.com/recipe_119
Oatmeal 120,No Restrictions,Lunch,205,8,12,18,1 serving(s),37,Mediterranean,"Ingredient 4, Ingredient 16",Grill,fish,All Year,Easy,https://example.com/recipe_120
Pasta Primavera 121,Keto,Dinner,773,44,85,20,1 serving(s),6,International,"Ingredient 2, Ingredient 15",Bake,eggs,Winter,Medium,https://example.com/recipe_121
Salmon Steak 122,Vegetarian,Post-workout,243,19,64,35,2 serving(s),37,International,"Ingredient 1, Ingredient 17",No-Cook,gluten,Summer,Medium,https://example.com/recipe_122
Smoothie 123,Vegan,Dinner,459,39,60,2,3 serving(s),20,Indian,"Ingredient 8, Ingredient 13",Pan-fry,eggs,Spring,Medium,https://example.com/recipe_123
Grilled Chicken 124,Mediterranean,Snacks,697,49,46,24,2 serving(s),8,International,"Ingredient 3, Ingredient 16",No-Cook,eggs,Summer,Hard,https://example.com/recipe_124
Tofu Curry 125,No Restrictions,Lunch,718,41,39,27,2 serving(s),60,Asian,"Ingredient 8, Ingredient 20",Slow-cook,fish,Winter,Hard,https://example.com/recipe_125
Oatmeal 126,Mediterranean,Dinner,271,36,54,28,2 serving(s),23,American,"Ingredient 3, Ingredient 18",Pan-fry,gluten,Fall,Hard,https://example.com/recipe_126
Grilled Chicken 127,Mediterranean,Breakfast,354,32,17,12,2 serving(s),27,Middle Eastern,"Ingredient 4, Ingredient 19",Grill,eggs,Winter,Medium,https://example.com/recipe_127
Grilled Chicken 128,Gluten-Free,Pre-workout,234,46,89,4,1 serving(s),47,Middle Eastern,"Ingredient 10, Ingredient 16",Grill,soy,Spring,Hard,https://example.com/recipe_128
Chicken Wrap 129,Vegan,Lunch,566,9,5,18,1 serving(s),8,International,"Ingredient 3, Ingredient 16",Pan-fry,gluten,Fall,Medium,https://example.com/recipe_129
Oatmeal 130,No Restrictions,Snacks,732,47,5,9,2 serving(s),9,Indian,"Ingredient 10, Ingredient 15",Bake,shellfish,Spring,Hard,https://example.com/recipe_130
Oatmeal 131,Gluten-Free,Lunch,184,33,26,10,2 serving(s),19,Mediterranean,"Ingredient 7, Ingredient 11",Bake,fish,Fall,Medium,https://example.com/recipe_131
Salmon Steak 132,Vegan,Snacks,119,8,73,46,1 serving(s),17,Asian,"Ingredient 5, Ingredient 18",Pan-fry,soy,Winter,Easy,https://example.com/recipe_132
Quinoa Bowl 133,No Restrictions,Dinner,188,48,10,21,3 serving(s),13,American,"Ingredient 8, Ingredient 16",No-Cook,None,All Year,Easy,https://example.com/recipe_133
Grilled Chicken 134,Vegan,Lunch,398,28,26,49,1 serving(s),52,Mediterranean,"Ingredient 1, Ingredient 14",Pan-fry,None,All Year,Easy,https://example.com/recipe_134
Tofu Curry 135,Vegan,Breakfast,132,19,81,28,1 serving(s),28,American,"Ingredient 2, Ingredient 15",Air-fry,eggs,Fall,Easy,https://example.com/recipe_135
Vegan Stir-Fry 136,Keto,Pre-workout,300,12,26,34,3 serving(s),51,American,"Ingredient 10, Ingredient 18",No-Cook,gluten,Winter,Medium,https://example.com/recipe_136
Grilled Chicken 137,No Restrictions,Dinner,441,15,42,45,2 serving(s),40,Mediterranean,"Ingredient 9, Ingredient 13",Steam,eggs,All Year,Easy,https://example.com/recipe_137
Quinoa Bowl 138,Gluten-Free,Snacks,400,26,85,23,1 serving(s),30,Mexican,"Ingredient 1, Ingredient 20",Boil,gluten,Fall,Medium,https://example.com/recipe_138
Keto Egg Salad 139,Gluten-Free,Pre-workout,735,14,99,38,3 serving(s),13,American,"Ingredient 3, Ingredient 13",Air-fry,fish,Spring,Hard,https://example.com/recipe_139
Quinoa Bowl 140,No Restrictions,Snacks,757,48,53,41,1 serving(s),26,Indian,"Ingredient 8, Ingredient 17",Boil,shellfish,Summer,Hard,https://example.com/recipe_140
Vegan Stir-Fry 141,Gluten-Free,Snacks,331,10,69,23,2 serving(s),30,Italian,"Ingredient 10, Ingredient 15",Bake,eggs,Summer,Easy,https://example.com/recipe_141
Pasta Primavera 142,Paleo,Snacks,325,50,63,46,2 serving(s),14,Indian,"Ingredient 6, Ingredient 18",Pan-fry,fish,All Year,Easy,https://example.com/recipe_142
Pasta Primavera 143,Gluten-Free,Post-workout,606,31,18,14,3 serving(s),6,Asian,"Ingredient 7, Ingredient 13",Grill,gluten,Summer,Hard,https://example.com/recipe_143
Pasta Primavera 144,Vegetarian,Lunch,213,46,50,47,2 serving(s),26,Italian,"Ingredient 5, Ingredient 13",Grill,None,Fall,Easy,https://example.com/recipe_144
Quinoa Bowl 145,Vegetarian,Dinner,746,12,92,33,1 serving(s),26,International,"Ingredient 3, Ingredient 19",Pan-fry,soy,Spring,Easy,https://example.com/recipe_145
Oatmeal 146,Vegan,Pre-workout,286,45,80,27,1 serving(s),25,Mediterranean,"Ingredient 3, Ingredient 18",Steam,nuts,All Year,Medium,https://example.com/recipe_146
Salmon Steak 147,Vegan,Snacks,242,41,65,21,3 serving(s),59,Italian,"Ingredient 8, Ingredient 18",Pan-fry,eggs,Summer,Hard,https://example.com/recipe_147
Smoothie 148,Vegetarian,Breakfast,435,7,86,1,2 serving(s),59,American,"Ingredient 7, Ingredient 13",Steam,dairy,Summer,Medium,https://example.com/recipe_148
Salmon Steak 149,Vegetarian,Post-workout,359,15,59,4,3 serving(s),46,Indian,"Ingredient 3, Ingredient 15",Boil,None,Spring,Easy,https://example.com/recipe_149
Pasta Primavera 150,Paleo,Snacks,717,46,28,7,2 serving(s),50,American,"Ingredient 6, Ingredient 16",Pan-fry,eggs,Fall,Hard,https://example.com/recipe_150
Grilled Chicken 151,Gluten-Free,Lunch,279,49,71,20,2 serving(s),50,Italian,"Ingredient 4, Ingredient 13",Slow-cook,soy,Fall,Medium,https://example.com/recipe_151
Chicken Wrap 152,No Restrictions,Lunch,166,10,29,24,3 serving(s),42,International,"Ingredient 7, Ingredient 14",Grill,fish,Summer,Medium,https://example.com/recipe_152
Grilled Chicken 153,No Restrictions,Lunch,538,6,46,49,3 serving(s),38,Italian,"Ingredient 10, Ingredient 13",Slow-cook,eggs,Winter,Medium,https://example.com/recipe_153
