Workout_Name,Duration,Intensity,Goal,Level
Yoga,90,Medium,Muscle Gain,Beginner
Cardio,63,Medium,General Fitness,Advanced
Cardio,22,Medium,Muscle Gain,Advanced
Cardio,71,High,Endurance,Advanced
Swimming,39,High,Endurance,Beginner
Running,55,Medium,Endurance,Intermediate
Pilates,18,Medium,Weight Loss,Intermediate
Yoga,74,Medium,Weight Loss,Intermediate
CrossFit,81,High,Flexibility,Advanced
Cardio,26,Low,Endurance,Beginner
Pilates,50,Low,General Fitness,Intermediate
Running,56,High,Endurance,Intermediate
Boxing,58,High,Muscle Gain,Beginner
Cardio,76,High,Flexibility,Beginner
CrossFit,36,Medium,Endurance,Beginner
CrossFit,29,Medium,Endurance,Intermediate
CrossFit,56,Low,Weight Loss,Beginner
Running,23,Medium,Flexibility,Beginner
Cardio,19,Low,General Fitness,Advanced
Boxing,71,High,Flexibility,Intermediate
Strength Training,24,Low,Muscle Gain,Intermediate
CrossFit,31,Low,Endurance,Intermediate
HIIT,59,Low,Flexibility,Advanced
Swimming,25,High,Weight Loss,Beginner
Swimming,46,Low,Weight Loss,Advanced
Strength Training,66,Low,Endurance,Intermediate
Running,41,Medium,Weight Loss,Intermediate
Cycling,42,Medium,General Fitness,Beginner
Boxing,16,Low,Endurance,Advanced
Strength Training,80,High,General Fitness,Advanced
Strength Training,18,Medium,Endurance,Advanced
Boxing,74,Medium,Muscle Gain,Advanced
CrossFit,68,Low,Flexibility,Beginner
Running,31,Medium,Weight Loss,Intermediate
HIIT,33,Medium,Muscle Gain,Beginner
Boxing,71,Low,Endurance,Advanced
CrossFit,79,High,General Fitness,Advanced
Yoga,83,Medium,Endurance,Advanced
Pilates,61,Low,Endurance,Beginner
Boxing,70,Medium,Endurance,Beginner
Swimming,33,High,Endurance,Intermediate
Cycling,88,Medium,Flexibility,Intermediate
Cycling,41,Low,Muscle Gain,Intermediate
Yoga,16,Low,Endurance,Intermediate
Pilates,44,Low,Flexibility,Advanced
Running,85,Low,Weight Loss,Beginner
Pilates,34,Low,General Fitness,Advanced
HIIT,73,Medium,Weight Loss,Advanced
Yoga,68,Medium,Muscle Gain,Advanced
Cardio,68,Low,General Fitness,Intermediate
Running,48,High,Weight Loss,Advanced
HIIT,89,High,Weight Loss,Beginner
HIIT,64,Medium,Weight Loss,Intermediate
Yoga,86,Medium,Flexibility,Beginner
Strength Training,82,High,Weight Loss,Advanced
CrossFit,39,Low,Muscle Gain,Advanced
HIIT,37,Medium,Flexibility,Advanced
Swimming,36,Low,Endurance,Advanced
Cardio,42,High,Muscle Gain,Beginner
Strength Training,63,Low,General Fitness,Advanced
Strength Training,24,Medium,Weight Loss,Intermediate
CrossFit,69,High,Endurance,Advanced
CrossFit,46,Medium,Weight Loss,Intermediate
Cycling,65,Low,Endurance,Advanced
Cycling,68,Low,Muscle Gain,Advanced
Cycling,90,Low,Muscle Gain,Advanced
HIIT,63,Medium,Endurance,Advanced
Cycling,39,Low,General Fitness,Intermediate
Running,55,Low,Muscle Gain,Advanced
HIIT,27,High,General Fitness,Advanced
Strength Training,71,Low,Flexibility,Beginner
CrossFit,84,High,Endurance,Beginner
Boxing,81,Medium,Flexibility,Intermediate
Pilates,61,Medium,Weight Loss,Advanced
Strength Training,23,Medium,Muscle Gain,Advanced
Running,19,Medium,Flexibility,Advanced
HIIT,53,High,Weight Loss,Advanced
HIIT,26,High,Muscle Gain,Advanced
Cardio,33,Medium,Endurance,Beginner
Pilates,81,High,General Fitness,Beginner
CrossFit,66,Low,Muscle Gain,Advanced
Yoga,55,Medium,Endurance,Beginner
CrossFit,73,High,Flexibility,Intermediate
Swimming,62,Low,Muscle Gain,Intermediate
Pilates,59,Medium,Muscle Gain,Intermediate
Yoga,42,Medium,Weight Loss,Intermediate
CrossFit,19,High,Flexibility,Beginner
Pilates,61,Medium,Weight Loss,Beginner
Strength Training,27,High,Weight Loss,Beginner
Swimming,45,Low,Endurance,Advanced
Strength Training,82,Medium,Muscle Gain,Intermediate
Cardio,65,High,Flexibility,Advanced
Cardio,47,Low,Weight Loss,Beginner
Cycling,18,Medium,Weight Loss,Intermediate
Yoga,64,High,Muscle Gain,Beginner
Boxing,50,Low,General Fitness,Advanced
HIIT,43,Medium,Weight Loss,Intermediate
Yoga,49,Low,Weight Loss,Advanced
CrossFit,31,Low,Flexibility,Intermediate
Running,62,Low,Flexibility,Advanced
Strength Training,48,High,Flexibility,Advanced
Swimming,27,Low,Weight Loss,Beginner
HIIT,87,High,Weight Loss,Advanced
Cycling,19,Low,Flexibility,Intermediate
Cardio,18,Medium,Weight Loss,Beginner
Strength Training,72,High,Muscle Gain,Intermediate
Yoga,41,High,Weight Loss,Advanced
Strength Training,48,Low,Muscle Gain,Advanced
Pilates,21,Low,General Fitness,Intermediate
Cardio,76,High,Endurance,Intermediate
Running,34,High,General Fitness,Advanced
Running,78,High,General Fitness,Advanced
Strength Training,35,Medium,Flexibility,Intermediate
Running,74,Low,Weight Loss,Beginner
Boxing,83,High,Endurance,Intermediate
Boxing,40,Low,Muscle Gain,Intermediate
Yoga,38,Medium,Muscle Gain,Advanced
CrossFit,55,Medium,Endurance,Advanced
Strength Training,83,Medium,General Fitness,Intermediate
CrossFit,59,Medium,Endurance,Advanced
Boxing,34,Low,Flexibility,Intermediate
Cycling,47,Low,Muscle Gain,Beginner
Running,51,Medium,Endurance,Advanced
Swimming,88,Low,Flexibility,Advanced
Swimming,16,Medium,Flexibility,Beginner
Swimming,36,Medium,Endurance,Advanced
CrossFit,73,High,General Fitness,Beginner
Boxing,45,Low,Muscle Gain,Intermediate
Cardio,63,Medium,Flexibility,Beginner
Pilates,82,Medium,Endurance,Advanced
Cardio,74,Medium,General Fitness,Intermediate
Boxing,50,High,Endurance,Intermediate
Pilates,17,Medium,Flexibility,Beginner
Yoga,70,High,Endurance,Intermediate
Boxing,60,Low,General Fitness,Beginner
Swimming,46,High,Muscle Gain,Intermediate
Running,72,Low,Endurance,Beginner
CrossFit,24,High,Muscle Gain,Beginner
CrossFit,22,High,Muscle Gain,Advanced
Cardio,80,Medium,General Fitness,Beginner
Swimming,60,Medium,Weight Loss,Advanced
CrossFit,19,Low,General Fitness,Advanced
Cardio,72,Medium,Flexibility,Intermediate
Yoga,78,Low,General Fitness,Advanced
Swimming,23,Medium,Weight Loss,Intermediate
Boxing,62,Medium,Weight Loss,Advanced
Yoga,72,Medium,General Fitness,Beginner
Running,63,Medium,Endurance,Advanced
CrossFit,80,High,Endurance,Beginner
Pilates,67,High,General Fitness,Advanced
Pilates,34,Medium,Endurance,Beginner
Boxing,44,Low,Endurance,Beginner
Strength Training,27,Medium,Weight Loss,Advanced
Strength Training,20,High,General Fitness,Beginner
Pilates,37,Low,Flexibility,Intermediate
Yoga,45,Medium,Endurance,Beginner
Cycling,84,Low,General Fitness,Intermediate
Pilates,72,Low,Endurance,Beginner
Swimming,57,Low,Muscle Gain,Intermediate
Strength Training,49,Low,Weight Loss,Advanced
Yoga,63,Low,Muscle Gain,Advanced
CrossFit,29,Low,Flexibility,Advanced
Strength Training,85,Medium,Flexibility,Intermediate
Strength Training,32,High,Muscle Gain,Advanced
Cycling,66,High,Muscle Gain,Advanced
Boxing,51,Low,Weight Loss,Intermediate
Boxing,17,High,Flexibility,Intermediate
Cardio,89,Medium,Muscle Gain,Advanced
Running,77,Low,Endurance,Beginner
Cardio,55,High,Weight Loss,Advanced
Cardio,19,High,Muscle Gain,Advanced
Cycling,48,Low,Muscle Gain,Advanced
Cardio,53,Low,General Fitness,Beginner
HIIT,77,High,General Fitness,Intermediate
HIIT,47,Medium,Muscle Gain,Intermediate
Running,77,Low,Muscle Gain,Advanced
HIIT,32,High,Flexibility,Advanced
Pilates,16,Low,Weight Loss,Beginner
Cardio,61,Low,Flexibility,Beginner
Cardio,43,Low,Weight Loss,Beginner
Swimming,68,Low,Flexibility,Intermediate
Swimming,40,Medium,Endurance,Intermediate
Cardio,87,Low,General Fitness,Advanced
Cycling,27,High,Endurance,Intermediate
Cardio,40,Medium,Weight Loss,Beginner
Swimming,79,Medium,Endurance,Advanced
Pilates,85,Low,General Fitness,Intermediate
Pilates,54,Medium,Flexibility,Beginner
Strength Training,33,Medium,Endurance,Intermediate
HIIT,62,High,Weight Loss,Beginner
Boxing,67,Medium,Weight Loss,Intermediate
CrossFit,52,Medium,Endurance,Intermediate
Boxing,29,High,Flexibility,Intermediate
Cycling,32,Low,General Fitness,Intermediate
Running,25,Medium,General Fitness,Beginner
Swimming,62,High,Muscle Gain,Advanced
CrossFit,42,Low,Flexibility,Advanced
Pilates,52,Low,Endurance,Intermediate
CrossFit,22,High,Weight Loss,Advanced
Boxing,24,Medium,Flexibility,Advanced
Yoga,46,Low,General Fitness,Intermediate
Cycling,55,Low,Endurance,Advanced
Cycling,57,Low,Muscle Gain,Intermediate
Running,22,Low,Muscle Gain,Beginner
Cycling,89,High,Flexibility,Advanced
Cycling,74,Medium,Muscle Gain,Intermediate
Swimming,15,Low,General Fitness,Advanced
Swimming,55,High,Muscle Gain,Beginner
Running,33,Medium,Weight Loss,Advanced
Strength Training,75,Medium,Endurance,Beginner
Boxing,34,High,Weight Loss,Beginner
Cycling,39,Low,Endurance,Beginner
Boxing,67,Medium,Endurance,Advanced
Strength Training,25,Low,Flexibility,Intermediate
Boxing,58,High,General Fitness,Intermediate
Cardio,64,High,General Fitness,Beginner
HIIT,26,Low,General Fitness,Intermediate
Cardio,39,High,Flexibility,Intermediate
Yoga,40,High,General Fitness,Advanced
Strength Training,49,Low,Flexibility,Intermediate
Cardio,69,Medium,Flexibility,Advanced
Boxing,49,Low,General Fitness,Intermediate
Boxing,23,Medium,General Fitness,Intermediate
Strength Training,35,Low,Muscle Gain,Advanced
Cardio,68,Medium,General Fitness,Intermediate
Boxing,23,Low,General Fitness,Advanced
Running,44,High,Weight Loss,Beginner
Yoga,60,Medium,Endurance,Beginner
Cardio,48,Medium,Endurance,Intermediate
Pilates,35,Low,Weight Loss,Beginner
Cardio,83,Low,Endurance,Beginner
Swimming,71,High,General Fitness,Intermediate
Cycling,18,Low,Endurance,Advanced
Pilates,90,High,Endurance,Beginner
Yoga,74,High,General Fitness,Intermediate
Boxing,62,Medium,Weight Loss,Advanced
Running,87,High,Muscle Gain,Advanced
CrossFit,85,High,Weight Loss,Beginner
Cardio,86,Low,Flexibility,Beginner
CrossFit,47,High,Weight Loss,Advanced
Strength Training,55,High,General Fitness,Beginner
HIIT,50,Low,Weight Loss,Beginner
Boxing,19,Low,Endurance,Advanced
Cardio,40,Low,Endurance,Advanced
Boxing,21,Low,Endurance,Advanced
Yoga,46,Low,Flexibility,Intermediate
HIIT,69,Medium,Weight Loss,Beginner
Pilates,35,Low,Weight Loss,Advanced
Strength Training,21,High,Endurance,Intermediate
Cycling,60,Low,Weight Loss,Beginner
Pilates,22,High,General Fitness,Beginner
Boxing,46,Low,Muscle Gain,Beginner
Yoga,74,Medium,Endurance,Beginner
Swimming,53,High,Weight Loss,Beginner
Boxing,26,Medium,Muscle Gain,Intermediate
Pilates,72,High,General Fitness,Intermediate
Cycling,24,Low,Muscle Gain,Beginner
Cardio,82,Medium,General Fitness,Advanced
Boxing,34,High,Weight Loss,Beginner
Cycling,71,Low,Weight Loss,Advanced
Strength Training,64,Medium,Flexibility,Advanced
Yoga,54,Medium,General Fitness,Intermediate
Strength Training,25,Low,Endurance,Beginner
Cycling,70,Low,General Fitness,Advanced
Boxing,26,Low,Muscle Gain,Beginner
Cycling,38,High,Muscle Gain,Intermediate
Yoga,74,Low,General Fitness,Advanced
Cycling,59,Low,General Fitness,Advanced
HIIT,40,Medium,Muscle Gain,Intermediate
Boxing,74,Medium,Weight Loss,Intermediate
Swimming,18,High,Flexibility,Advanced
Cycling,25,High,General Fitness,Intermediate
CrossFit,43,High,Endurance,Intermediate
HIIT,19,Low,Muscle Gain,Intermediate
HIIT,30,Low,Muscle Gain,Beginner
Running,31,Medium,Weight Loss,Beginner
CrossFit,22,Medium,Endurance,Advanced
Pilates,90,High,Muscle Gain,Advanced
Swimming,64,Medium,General Fitness,Intermediate
Cardio,40,Medium,Endurance,Advanced
Strength Training,41,Low,Muscle Gain,Beginner
Pilates,66,Low,General Fitness,Advanced
CrossFit,24,High,Flexibility,Intermediate
HIIT,16,High,Endurance,Beginner
CrossFit,58,Low,Weight Loss,Advanced
Yoga,37,Medium,General Fitness,Beginner
Yoga,67,Medium,Muscle Gain,Intermediate
Cardio,84,Low,Muscle Gain,Advanced
Yoga,17,Low,Muscle Gain,Intermediate
Yoga,70,Low,Endurance,Advanced
Swimming,42,Medium,Flexibility,Beginner
Strength Training,45,Low,Flexibility,Advanced
Boxing,33,Low,Endurance,Intermediate
Swimming,44,High,Muscle Gain,Intermediate
Yoga,43,Medium,Flexibility,Advanced
CrossFit,15,Low,Flexibility,Intermediate
Running,53,High,Flexibility,Intermediate
Yoga,63,High,General Fitness,Intermediate
Cycling,31,Medium,Endurance,Beginner
CrossFit,74,Medium,Weight Loss,Advanced
Strength Training,29,Low,General Fitness,Advanced
CrossFit,63,High,General Fitness,Beginner
Cardio,68,Low,Muscle Gain,Beginner
Cycling,58,Low,Flexibility,Beginner
Yoga,30,Medium,Endurance,Beginner
Cardio,26,High,Muscle Gain,Advanced
Boxing,68,Low,Muscle Gain,Intermediate
HIIT,57,Low,Muscle Gain,Advanced
Swimming,34,Medium,Flexibility,Beginner
Pilates,83,Low,Flexibility,Advanced
Strength Training,79,Low,Weight Loss,Advanced
Cycling,15,Low,General Fitness,Advanced
Pilates,51,Low,Weight Loss,Intermediate
Cycling,89,High,Flexibility,Intermediate
Yoga,25,Medium,Endurance,Advanced
Swimming,75,Medium,General Fitness,Intermediate
CrossFit,51,High,Weight Loss,Intermediate
Cycling,75,High,Flexibility,Intermediate
Cardio,57,High,Endurance,Intermediate
Boxing,73,High,Weight Loss,Beginner
Strength Training,54,Low,Weight Loss,Intermediate
Swimming,27,Low,Muscle Gain,Beginner
Boxing,65,Medium,Flexibility,Intermediate
Boxing,22,Low,Weight Loss,Advanced
Cycling,18,Medium,Weight Loss,Advanced
Swimming,33,High,Flexibility,Intermediate
Strength Training,66,Low,General Fitness,Beginner
Cardio,40,High,Weight Loss,Intermediate
Cardio,29,Medium,Endurance,Intermediate
Cardio,76,Low,General Fitness,Advanced
Cardio,55,Low,Flexibility,Intermediate
Boxing,35,Medium,Muscle Gain,Beginner
CrossFit,28,High,General Fitness,Advanced
Cardio,85,High,Muscle Gain,Intermediate
Pilates,24,Medium,General Fitness,Intermediate
CrossFit,53,Low,Endurance,Advanced
HIIT,83,High,Muscle Gain,Advanced
Pilates,85,Medium,Endurance,Advanced
Swimming,38,High,Weight Loss,Beginner
HIIT,64,Medium,Endurance,Beginner
Running,31,Medium,Weight Loss,Advanced
Strength Training,82,Medium,General Fitness,Advanced
Yoga,39,Low,Flexibility,Beginner
Running,63,Medium,Weight Loss,Advanced
Pilates,20,Medium,General Fitness,Intermediate
Cardio,86,Medium,General Fitness,Intermediate
Cycling,66,High,Weight Loss,Beginner
Strength Training,75,Low,Flexibility,Beginner
Yoga,67,Low,Weight Loss,Advanced
Yoga,64,High,Flexibility,Beginner
Swimming,86,Low,Endurance,Beginner
Pilates,40,Medium,Endurance,Beginner
Boxing,68,Medium,Weight Loss,Advanced
HIIT,86,Low,Endurance,Beginner
Yoga,26,Low,Muscle Gain,Beginner
Yoga,40,Low,Flexibility,Intermediate
Cardio,50,High,Flexibility,Advanced
Pilates,19,Low,Flexibility,Advanced
Cycling,44,Medium,Muscle Gain,Intermediate
HIIT,24,Medium,Flexibility,Beginner
Boxing,73,High,Muscle Gain,Beginner
Boxing,84,Medium,Endurance,Beginner
Cardio,55,Medium,Weight Loss,Intermediate
HIIT,87,High,Flexibility,Beginner
Boxing,18,Medium,Weight Loss,Advanced
HIIT,22,High,Muscle Gain,Intermediate
HIIT,73,Medium,Flexibility,Beginner
Yoga,27,Medium,Endurance,Intermediate
Cycling,23,Medium,General Fitness,Beginner
Strength Training,64,Low,Muscle Gain,Beginner
Running,63,Medium,Flexibility,Advanced
Cycling,24,Medium,Muscle Gain,Advanced
Cardio,62,Low,Muscle Gain,Beginner
Running,23,High,General Fitness,Beginner
Strength Training,72,Medium,General Fitness,Intermediate
Swimming,51,High,General Fitness,Advanced
Cycling,61,Medium,Flexibility,Beginner
Cycling,48,Low,Endurance,Intermediate
Running,82,Medium,Flexibility,Advanced
Cycling,66,Low,Muscle Gain,Beginner
Running,83,Low,Muscle Gain,Beginner
Boxing,32,Medium,General Fitness,Beginner
Swimming,89,Medium,Endurance,Intermediate
Swimming,32,High,Flexibility,Intermediate
HIIT,33,Medium,Endurance,Intermediate
Boxing,49,High,Flexibility,Intermediate
Swimming,57,Medium,General Fitness,Advanced
Pilates,51,High,Muscle Gain,Advanced
Running,28,High,Muscle Gain,Advanced
CrossFit,33,Medium,Flexibility,Advanced
Boxing,22,High,General Fitness,Advanced
Strength Training,39,Medium,Endurance,Intermediate
Running,42,Medium,Endurance,Intermediate
CrossFit,77,Medium,Muscle Gain,Beginner
Boxing,61,Low,Endurance,Beginner
HIIT,24,High,Muscle Gain,Advanced
Running,18,High,Muscle Gain,Beginner
HIIT,21,Medium,Endurance,Beginner
Yoga,77,High,Weight Loss,Intermediate
Yoga,15,High,Muscle Gain,Intermediate
Strength Training,75,High,General Fitness,Intermediate
HIIT,70,High,Flexibility,Advanced
Strength Training,17,Medium,Muscle Gain,Beginner
Boxing,21,Medium,Weight Loss,Advanced
Running,47,Medium,Muscle Gain,Advanced
Swimming,53,Low,Flexibility,Beginner
Boxing,67,High,Flexibility,Beginner
CrossFit,56,Low,Weight Loss,Advanced
Boxing,18,High,Flexibility,Advanced
HIIT,22,Low,Endurance,Advanced
Strength Training,23,High,General Fitness,Advanced
Yoga,84,Low,General Fitness,Advanced
CrossFit,33,Medium,Weight Loss,Advanced
CrossFit,79,Low,Weight Loss,Intermediate
Pilates,41,Low,Weight Loss,Intermediate
Cycling,18,Medium,Endurance,Beginner
Cardio,88,Low,General Fitness,Intermediate
Running,24,High,Muscle Gain,Intermediate
Yoga,85,Medium,Muscle Gain,Advanced
Boxing,46,High,General Fitness,Advanced
Yoga,34,High,General Fitness,Advanced
Strength Training,20,High,Muscle Gain,Intermediate
Cycling,32,Medium,Endurance,Beginner
Yoga,76,Medium,Muscle Gain,Intermediate
Yoga,44,High,Weight Loss,Intermediate
Running,52,Medium,Weight Loss,Beginner
Running,57,Medium,Weight Loss,Intermediate
Strength Training,28,High,Muscle Gain,Intermediate
CrossFit,43,High,Flexibility,Advanced
Swimming,26,High,General Fitness,Beginner
Strength Training,60,Medium,Endurance,Beginner
Cycling,23,Low,Flexibility,Beginner
Yoga,77,Low,Flexibility,Advanced
Strength Training,27,Medium,Muscle Gain,Advanced
CrossFit,35,Low,Weight Loss,Beginner
Yoga,73,Medium,Endurance,Beginner
Pilates,65,Low,Weight Loss,Beginner
Strength Training,65,High,Flexibility,Beginner
Boxing,74,High,Weight Loss,Intermediate
Running,72,Low,Flexibility,Intermediate
Cardio,88,High,General Fitness,Beginner
Swimming,75,Medium,Weight Loss,Advanced
Pilates,64,Low,Weight Loss,Intermediate
HIIT,50,Low,General Fitness,Beginner
Pilates,75,Low,Weight Loss,Beginner
HIIT,27,Low,Flexibility,Advanced
Pilates,21,Medium,General Fitness,Beginner
Swimming,39,Medium,Muscle Gain,Beginner
Running,72,Low,Endurance,Intermediate
HIIT,68,Medium,Weight Loss,Beginner
HIIT,29,Low,General Fitness,Beginner
Yoga,77,Medium,Endurance,Advanced
Cardio,79,Medium,Endurance,Intermediate
Swimming,75,High,Weight Loss,Intermediate
Boxing,69,Low,Flexibility,Intermediate
Boxing,24,High,Muscle Gain,Beginner
Pilates,27,Medium,Muscle Gain,Advanced
CrossFit,38,Low,General Fitness,Intermediate
Cycling,38,Low,Flexibility,Beginner
Cardio,22,Medium,General Fitness,Intermediate
Swimming,25,Low,Muscle Gain,Intermediate
Boxing,69,High,Weight Loss,Beginner
Strength Training,83,High,Muscle Gain,Intermediate
Cycling,58,Low,Flexibility,Advanced
Boxing,53,High,General Fitness,Beginner
Running,58,High,Endurance,Advanced
Running,21,High,Endurance,Intermediate
Strength Training,52,Low,Flexibility,Intermediate
Pilates,33,Low,General Fitness,Intermediate
Cycling,20,Low,General Fitness,Intermediate
Cardio,78,High,Muscle Gain,Beginner
HIIT,82,High,Endurance,Advanced
CrossFit,28,Low,Endurance,Advanced
Swimming,60,High,Flexibility,Beginner
HIIT,87,High,General Fitness,Beginner
HIIT,22,Medium,Endurance,Beginner
Running,46,High,Weight Loss,Advanced
CrossFit,43,Low,General Fitness,Advanced
Running,74,Medium,Muscle Gain,Intermediate
HIIT,75,Low,General Fitness,Intermediate
Boxing,62,High,Flexibility,Intermediate
Swimming,73,Medium,Flexibility,Intermediate
Swimming,29,High,Weight Loss,Intermediate
Boxing,26,High,General Fitness,Beginner
HIIT,15,High,Endurance,Intermediate
Yoga,34,Medium,Muscle Gain,Advanced
Strength Training,36,High,General Fitness,Intermediate
Running,30,Medium,Weight Loss,Advanced
Yoga,63,Low,Weight Loss,Beginner
Swimming,85,Low,General Fitness,Advanced
HIIT,15,High,Muscle Gain,Intermediate
Strength Training,48,Medium,Flexibility,Advanced
Yoga,72,Medium,Muscle Gain,Intermediate
HIIT,53,Medium,Flexibility,Intermediate
HIIT,35,Medium,Muscle Gain,Intermediate
Swimming,40,High,General Fitness,Advanced
Cardio,29,Medium,Muscle Gain,Advanced
